time,oveHeaPumY_u
3888030,0.7460290833036327
3888060,0.7718370280366326
3888090,0.7972185551876574
3888120,0.8220487794031417
3888150,0.8462551079126283
3888180,0.8697981823876298
3888210,0.8926579447962292
3888240,0.9148281267822846
3888270,0.9363121032592137
3888300,0.9571200398056519
3888330,0.9772667059181133
3888360,0.9967699906015
3888390,1.0
3888420,1.0
3888450,1.0
3888480,1.0
3888510,1.0
3888540,1.0
3888570,1.0
3888600,1.0
3888630,1.0
3888660,1.0
3888690,1.0
3888720,1.0
3888750,1.0
3888780,1.0
3888810,1.0
3888840,1.0
3888870,1.0
3888900,1.0
3888930,1.0
3888960,1.0
3888990,1.0
3889020,1.0
3889050,1.0
3889080,1.0
3889110,1.0
3889140,1.0
3889170,1.0
3889200,1.0
3889230,1.0
3889260,1.0
3889290,1.0
3889320,1.0
3889350,1.0
3889380,1.0
3889410,1.0
3889440,1.0
3889470,1.0
3889500,1.0
3889530,1.0
3889560,1.0
3889590,1.0
3889620,1.0
3889650,1.0
3889680,1.0
3889710,1.0
3889740,1.0
3889770,1.0
3889800,1.0
3889830,1.0
3889860,1.0
3889890,1.0
3889920,1.0
3889950,1.0
3889980,1.0
3890010,1.0
3890040,1.0
3890070,1.0
3890100,1.0
3890130,1.0
3890160,1.0
3890190,1.0
3890220,1.0
3890250,1.0
3890280,1.0
3890310,1.0
3890340,1.0
3890370,1.0
3890400,1.0
3890430,1.0
3890460,1.0
3890490,1.0
3890520,1.0
3890550,1.0
3890580,1.0
3890610,1.0
3890640,1.0
3890670,1.0
3890700,1.0
3890730,1.0
3890760,1.0
3890790,1.0
3890820,1.0
3890850,1.0
3890880,1.0
3890910,1.0
3890940,1.0
3890970,1.0
3891000,1.0
3891030,1.0
3891060,1.0
3891090,1.0
3891120,1.0
3891150,1.0
3891180,1.0
3891210,1.0
3891240,1.0
3891270,1.0
3891300,1.0
3891330,1.0
3891360,1.0
3891390,1.0
3891420,1.0
3891450,1.0
3891480,1.0
3891510,1.0
3891540,1.0
3891570,1.0
3891600,1.0
3891630,1.0
3891660,1.0
3891690,1.0
3891720,1.0
3891750,1.0
3891780,1.0
3891810,1.0
3891840,1.0
3891870,1.0
3891900,1.0
3891930,1.0
3891960,1.0
3891990,1.0
3892020,1.0
3892050,1.0
3892080,1.0
3892110,1.0
3892140,1.0
3892170,1.0
3892200,1.0
3892230,1.0
3892260,1.0
3892290,1.0
3892320,1.0
3892350,1.0
3892380,1.0
3892410,1.0
3892440,1.0
3892470,1.0
3892500,1.0
3892530,1.0
3892560,1.0
3892590,1.0
3892620,1.0
3892650,1.0
3892680,1.0
3892710,1.0
3892740,1.0
3892770,1.0
3892800,1.0
3892830,1.0
3892860,1.0
3892890,1.0
3892920,1.0
3892950,1.0
3892980,1.0
3893010,1.0
3893040,1.0
3893070,1.0
3893100,1.0
3893130,1.0
3893160,1.0
3893190,1.0
3893220,1.0
3893250,1.0
3893280,1.0
3893310,1.0
3893340,1.0
3893370,1.0
3893400,1.0
3893430,1.0
3893460,1.0
3893490,1.0
3893520,1.0
3893550,1.0
3893580,1.0
3893610,1.0
3893640,1.0
3893670,1.0
3893700,1.0
3893730,1.0
3893760,1.0
3893790,1.0
3893820,1.0
3893850,1.0
3893880,1.0
3893910,1.0
3893940,1.0
3893970,1.0
3894000,1.0
3894030,1.0
3894060,1.0
3894090,1.0
3894120,1.0
3894150,1.0
3894180,1.0
3894210,1.0
3894240,1.0
3894270,1.0
3894300,1.0
3894330,1.0
3894360,1.0
3894390,1.0
3894420,1.0
3894450,1.0
3894480,1.0
3894510,1.0
3894540,1.0
3894570,1.0
3894600,1.0
3894630,1.0
3894660,1.0
3894690,1.0
3894720,1.0
3894750,1.0
3894780,1.0
3894810,1.0
3894840,1.0
3894870,1.0
3894900,1.0
3894930,1.0
3894960,1.0
3894990,1.0
3895020,1.0
3895050,1.0
3895080,1.0
3895110,1.0
3895140,1.0
3895170,1.0
3895200,1.0
3895230,1.0
3895260,1.0
3895290,1.0
3895320,1.0
3895350,1.0
3895380,1.0
3895410,1.0
3895440,1.0
3895470,1.0
3895500,1.0
3895530,1.0
3895560,1.0
3895590,1.0
3895620,1.0
3895650,1.0
3895680,1.0
3895710,1.0
3895740,1.0
3895770,1.0
3895800,1.0
3895830,1.0
3895860,1.0
3895890,1.0
3895920,1.0
3895950,1.0
3895980,1.0
3896010,1.0
3896040,1.0
3896070,1.0
3896100,1.0
3896130,1.0
3896160,1.0
3896190,1.0
3896220,1.0
3896250,1.0
3896280,1.0
3896310,1.0
3896340,1.0
3896370,1.0
3896400,1.0
3896430,1.0
3896460,1.0
3896490,1.0
3896520,1.0
3896550,1.0
3896580,1.0
3896610,1.0
3896640,1.0
3896670,1.0
3896700,1.0
3896730,1.0
3896760,1.0
3896790,1.0
3896820,1.0
3896850,1.0
3896880,1.0
3896910,1.0
3896940,1.0
3896970,1.0
3897000,1.0
3897030,1.0
3897060,1.0
3897090,1.0
3897120,1.0
3897150,1.0
3897180,1.0
3897210,1.0
3897240,1.0
3897270,1.0
3897300,1.0
3897330,1.0
3897360,1.0
3897390,1.0
3897420,1.0
3897450,1.0
3897480,1.0
3897510,1.0
3897540,1.0
3897570,1.0
3897600,1.0
3897630,1.0
3897660,1.0
3897690,1.0
3897720,1.0
3897750,1.0
3897780,1.0
3897810,1.0
3897840,1.0
3897870,1.0
3897900,1.0
3897930,1.0
3897960,1.0
3897990,1.0
3898020,1.0
3898050,1.0
3898080,1.0
3898110,1.0
3898140,1.0
3898170,1.0
3898200,1.0
3898230,1.0
3898260,1.0
3898290,1.0
3898320,1.0
3898350,1.0
3898380,1.0
3898410,1.0
3898440,1.0
3898470,1.0
3898500,1.0
3898530,1.0
3898560,1.0
3898590,1.0
3898620,1.0
3898650,1.0
3898680,1.0
3898710,1.0
3898740,1.0
3898770,1.0
3898800,1.0
3898830,1.0
3898860,1.0
3898890,1.0
3898920,1.0
3898950,1.0
3898980,1.0
3899010,1.0
3899040,1.0
3899070,1.0
3899100,1.0
3899130,1.0
3899160,1.0
3899190,1.0
3899220,1.0
3899250,1.0
3899280,1.0
3899310,1.0
3899340,1.0
3899370,1.0
3899400,1.0
3899430,1.0
3899460,1.0
3899490,1.0
3899520,1.0
3899550,1.0
3899580,1.0
3899610,1.0
3899640,1.0
3899670,1.0
3899700,1.0
3899730,1.0
3899760,1.0
3899790,1.0
3899820,1.0
3899850,1.0
3899880,1.0
3899910,1.0
3899940,1.0
3899970,1.0
3900000,1.0
3900030,1.0
3900060,1.0
3900090,1.0
3900120,1.0
3900150,1.0
3900180,1.0
3900210,1.0
3900240,1.0
3900270,1.0
3900300,1.0
3900330,1.0
3900360,1.0
3900390,1.0
3900420,1.0
3900450,1.0
3900480,1.0
3900510,1.0
3900540,1.0
3900570,1.0
3900600,1.0
3900630,1.0
3900660,1.0
3900690,1.0
3900720,1.0
3900750,1.0
3900780,1.0
3900810,1.0
3900840,1.0
3900870,1.0
3900900,1.0
3900930,1.0
3900960,1.0
3900990,1.0
3901020,1.0
3901050,1.0
3901080,1.0
3901110,1.0
3901140,1.0
3901170,1.0
3901200,1.0
3901230,1.0
3901260,1.0
3901290,1.0
3901320,1.0
3901350,1.0
3901380,1.0
3901410,1.0
3901440,1.0
3901470,1.0
3901500,1.0
3901530,1.0
3901560,1.0
3901590,1.0
3901620,1.0
3901650,1.0
3901680,1.0
3901710,1.0
3901740,1.0
3901770,1.0
3901800,1.0
3901830,1.0
3901860,1.0
3901890,1.0
3901920,1.0
3901950,1.0
3901980,1.0
3902010,1.0
3902040,1.0
3902070,1.0
3902100,1.0
3902130,1.0
3902160,1.0
3902190,1.0
3902220,1.0
3902250,1.0
3902280,1.0
3902310,1.0
3902340,1.0
3902370,1.0
3902400,1.0
3902430,1.0
3902460,1.0
3902490,1.0
3902520,1.0
3902550,1.0
3902580,1.0
3902610,1.0
3902640,1.0
3902670,1.0
3902700,1.0
3902730,1.0
3902760,1.0
3902790,1.0
3902820,1.0
3902850,1.0
3902880,1.0
3902910,1.0
3902940,1.0
3902970,1.0
3903000,1.0
3903030,1.0
3903060,1.0
3903090,1.0
3903120,1.0
3903150,1.0
3903180,1.0
3903210,1.0
3903240,1.0
3903270,1.0
3903300,1.0
3903330,1.0
3903360,1.0
3903390,1.0
3903420,1.0
3903450,1.0
3903480,1.0
3903510,1.0
3903540,1.0
3903570,1.0
3903600,1.0
3903630,1.0
3903660,1.0
3903690,1.0
3903720,1.0
3903750,1.0
3903780,1.0
3903810,1.0
3903840,1.0
3903870,1.0
3903900,1.0
3903930,1.0
3903960,1.0
3903990,1.0
3904020,1.0
3904050,1.0
3904080,1.0
3904110,1.0
3904140,1.0
3904170,1.0
3904200,1.0
3904230,1.0
3904260,1.0
3904290,1.0
3904320,1.0
3904350,1.0
3904380,1.0
3904410,1.0
3904440,1.0
3904470,1.0
3904500,1.0
3904530,1.0
3904560,1.0
3904590,1.0
3904620,1.0
3904650,1.0
3904680,1.0
3904710,1.0
3904740,1.0
3904770,1.0
3904800,1.0
3904830,1.0
3904860,1.0
3904890,1.0
3904920,1.0
3904950,1.0
3904980,1.0
3905010,1.0
3905040,1.0
3905070,1.0
3905100,1.0
3905130,1.0
3905160,1.0
3905190,1.0
3905220,1.0
3905250,1.0
3905280,1.0
3905310,1.0
3905340,1.0
3905370,1.0
3905400,1.0
3905430,1.0
3905460,1.0
3905490,1.0
3905520,1.0
3905550,1.0
3905580,1.0
3905610,1.0
3905640,1.0
3905670,1.0
3905700,1.0
3905730,1.0
3905760,1.0
3905790,1.0
3905820,1.0
3905850,1.0
3905880,1.0
3905910,1.0
3905940,1.0
3905970,1.0
3906000,1.0
3906030,1.0
3906060,1.0
3906090,1.0
3906120,1.0
3906150,1.0
3906180,1.0
3906210,1.0
3906240,1.0
3906270,1.0
3906300,1.0
3906330,1.0
3906360,1.0
3906390,1.0
3906420,1.0
3906450,1.0
3906480,1.0
3906510,1.0
3906540,1.0
3906570,1.0
3906600,1.0
3906630,1.0
3906660,1.0
3906690,1.0
3906720,1.0
3906750,1.0
3906780,1.0
3906810,1.0
3906840,1.0
3906870,1.0
3906900,1.0
3906930,1.0
3906960,1.0
3906990,1.0
3907020,1.0
3907050,1.0
3907080,1.0
3907110,1.0
3907140,1.0
3907170,1.0
3907200,1.0
3907230,1.0
3907260,1.0
3907290,1.0
3907320,1.0
3907350,1.0
3907380,1.0
3907410,1.0
3907440,1.0
3907470,1.0
3907500,1.0
3907530,1.0
3907560,1.0
3907590,1.0
3907620,1.0
3907650,1.0
3907680,1.0
3907710,1.0
3907740,1.0
3907770,1.0
3907800,1.0
3907830,1.0
3907860,1.0
3907890,1.0
3907920,1.0
3907950,1.0
3907980,1.0
3908010,1.0
3908040,1.0
3908070,1.0
3908100,1.0
3908130,1.0
3908160,1.0
3908190,1.0
3908220,1.0
3908250,1.0
3908280,1.0
3908310,1.0
3908340,1.0
3908370,1.0
3908400,1.0
3908430,1.0
3908460,1.0
3908490,1.0
3908520,1.0
3908550,1.0
3908580,1.0
3908610,1.0
3908640,1.0
3908670,1.0
3908700,1.0
3908730,1.0
3908760,1.0
3908790,1.0
3908820,1.0
3908850,1.0
3908880,1.0
3908910,1.0
3908940,1.0
3908970,1.0
3909000,1.0
3909030,1.0
3909060,1.0
3909090,1.0
3909120,1.0
3909150,1.0
3909180,1.0
3909210,1.0
3909240,1.0
3909270,1.0
3909300,1.0
3909330,1.0
3909360,1.0
3909390,1.0
3909420,1.0
3909450,1.0
3909480,1.0
3909510,1.0
3909540,1.0
3909570,1.0
3909600,1.0
3909630,1.0
3909660,1.0
3909690,1.0
3909720,1.0
3909750,1.0
3909780,1.0
3909810,1.0
3909840,1.0
3909870,1.0
3909900,1.0
3909930,1.0
3909960,1.0
3909990,1.0
3910020,1.0
3910050,1.0
3910080,1.0
3910110,1.0
3910140,1.0
3910170,1.0
3910200,1.0
3910230,1.0
3910260,1.0
3910290,1.0
3910320,1.0
3910350,1.0
3910380,1.0
3910410,1.0
3910440,1.0
3910470,1.0
3910500,1.0
3910530,1.0
3910560,1.0
3910590,1.0
3910620,0.9991096901699791
3910650,0.9980416771760712
3910680,0.9969699793754055
3910710,0.9958945257040546
3910740,0.9948153233545478
3910770,0.9937323921875971
3910800,0.9926457621498163
3910830,0.9915554702818868
3910860,0.9904615487856381
3910890,0.989364035593473
3910920,0.9882629720225948
3910950,0.9871584019778185
3910980,0.9860503714734812
3911010,0.9849389282899519
3911040,0.9838241217019892
3911070,0.9827060022517582
3911100,0.9815846215550872
3911130,0.9804600321329743
3911160,0.9793322872639142
3911190,0.9782014408535529
3911220,0.9770675473189574
3911250,0.975930661485805
3911280,0.974790838496664
3911310,0.9736481337294176
3911340,0.9725026027243651
3911370,0.9713543011195231
3911400,0.9702032845927568
3911430,0.9690496088104952
3911460,0.9678933293821327
3911490,0.9667345018196261
3911520,0.9655731815015915
3911550,0.9644094236418825
3911580,0.9632432832615728
3911610,0.9620748151644631
3911640,0.9609040739158126
3911670,0.9597311138233218
3911700,0.9585559889210209
3911730,0.9573787529552915
3911760,0.9561994593723783
3911790,0.9550181613084247
3911820,0.9538349115805345
3911850,0.9526497626793808
3911880,0.9514627667633633
3911910,0.9502739756533667
3911940,0.9490834408292148
3911970,0.9478912134263223
3912000,0.9466973442339135
3912030,0.9455018836824708
3912060,0.9443048818726196
3912090,0.9431063885506736
3912120,0.9419064531126611
3912150,0.9407051246060758
3912180,0.9395024517317092
3912210,0.9382984828452225
3912240,0.9370932659591407
3912270,0.9358868487449294
3912300,0.9346792785352243
3912330,0.9334706023267901
3912360,0.9322608667828519
3912390,0.9310501182362919
3912420,0.9298384026925938
3912450,0.9286257658331457
3912480,0.9274122530182195
3912510,0.9261979092907883
3912540,0.9249827793795433
3912570,0.9237669077026129
3912600,0.9225503383710272
3912630,0.9213331151923378
3912660,0.9201152816740541
3912690,0.9188968810274372
3912720,0.9176779561710082
3912750,0.9164585497341771
3912780,0.9152387040609934
3912810,0.9140184612134036
3912840,0.9127978629752443
3912870,0.9115769508555379
3912900,0.9103557660922497
3912930,0.9091343496555184
3912960,0.9079127422515183
3912990,0.906690984325692
3913020,0.9054691160661027
3913050,0.904247177407112
3913080,0.9030252080325293
3913110,0.9018032473790163
3913140,0.9005813346393053
3913170,0.8993595087655025
3913200,0.47813780847241305
3913230,0.4776625737588238
3913260,0.47699652889153477
3913290,0.4761638410572243
3913320,0.47518535771991477
3913350,0.47407917389632637
3913380,0.47286100922647584
3913410,0.47154471154954386
3913440,0.4701425306952032
3913470,0.46866516650822
3913500,0.4671221158740507
3913530,0.46552195959228015
3913560,0.4638724669784411
3913590,0.4621803254136091
3913620,0.4604516976496087
3913650,0.45869214087289834
3913680,0.45690665142416664
3913710,0.4550996805117051
3913740,0.45327517296980036
3913770,0.4514366758662497
3913800,0.44958739462748826
3913830,0.4477302263425626
3913860,0.44586777921529347
3913890,0.4440023948506915
3913920,0.44213617333071686
3913950,0.4402709985472813
3913980,0.4384085608205328
3914010,0.43655037628856785
3914040,0.4346978036935279
3914070,0.4328520593970519
3914100,0.4310142310697439
3914130,0.42918529018644386
3914160,0.4273661033491785
3914190,0.4255574419468659
3914220,0.4237599925626367
3914250,0.42197436482647005
3914280,0.4202010984413625
3914310,0.4184406699092377
3914340,0.416693498801043
3914370,0.41495995339170305
3914400,0.4132403556690019
3914430,0.411534985826058
3914460,0.4098440863316191
3914490,0.40816786562692614
3914520,0.4065065014757981
3914550,0.4048601439935919
3914580,0.4032289183838005
3914610,0.4016129274133953
3914640,0.40001225365252496
3914670,0.39842696150159834
3914700,0.39685709902544714
3914730,0.39530269961271897
3914760,0.3937637834773531
3914790,0.3922403590166569
3914820,0.39073242404056086
3914850,0.3892399668833739
3914880,0.3877629674098139
3914910,0.3863013979252231
3914940,0.3848552239989231
3914970,0.38342440520891313
3915000,0.3820088958156717
3915030,0.38060864537158307
3915060,0.3792235992723345
3915090,0.377853699255183
3915120,0.3764988838499685
3915150,0.37515908878692483
3915180,0.37383424736539356
3915210,0.3725242907871476
3915240,0.3712291484579484
3915270,0.36994874826021745
3915300,0.36868301679930904
3915330,0.3674318796265937
3915360,0.36619526144080194
3915390,0.3649730862705154
3915420,0.36376527763851796
3915450,0.3625717587114566
3915480,0.36139245243427537
3915510,0.3602272816524406
3915540,0.3590761692227956
3915570,0.3579390381132756
3915600,0.35681581149431035
3915630,0.35570641282078747
3915660,0.35461076590754703
3915690,0.35352879499742645
3915720,0.35246042482349965
3915750,0.35140558066634336
3915780,0.3503641884062075
3915810,0.3493361745708904
3915840,0.34832146638087524
3915870,0.3473199917900739
3915900,0.34633167952503413
3915930,0.3453564591210644
3915960,0.3443942609569743
3915990,0.3434450162880131
3916020,0.3425086572780267
3916050,0.341585117030246
3916080,0.3406743296184127
3916110,0.3397762301172159
3916140,0.3388907546333016
3916170,0.3380178403366868
3916200,0.33715742549326183
3916230,0.3363094494986581
3916260,0.33547385291362336
3916290,0.33465057750179716
3916320,0.33383956627037376
3916350,0.33304076351304845
3916380,0.33225411485771467
3916410,0.3314795673180076
3916440,0.3307170693502092
3916470,0.3299665709158452
3916500,0.3292280235518024
3916530,0.32850138044826865
3916560,0.32778659653657366
3916590,0.32708362858799106
3916620,0.3263924353264819
3916650,0.32571297755645273
3916680,0.3250452183103015
3916710,0.3243891230179043
3916740,0.3237446597041062
3916770,0.32311179921961175
3916800,0.3224905155131892
3916830,0.32188284917793913
3916860,0.3212850209286144
3916890,0.3206984121321185
3916920,0.32012329301590386
3916950,0.3195596997027448
3916980,0.31900765298736783
3917010,0.31846717392359725
3917040,0.3179382902629409
3917070,0.31742104030878693
3917100,0.3169154766634363
3917130,0.3164216712297409
3917160,0.3159397230372198
3917190,0.3154697721036836
3917220,0.3150120285690518
3917250,0.314566859809261
3917280,0.3141348798882577
3917310,0.31371543379207273
3917340,0.3133077381733622
3917370,0.3129111416991193
3917400,0.31252512598001575
3917430,0.31214927434274775
3917460,0.3117832452680539
3917490,0.31142675373408046
3917520,0.3110795584358113
3917550,0.3107414528468591
3917580,0.3104122587560987
3917610,0.3100918214365878
3917640,0.3097800059344778
3917670,0.3094766941575
3917700,0.30918178255831724
3917730,0.3088951802754761
3917760,0.3086168076394911
3917790,0.3083465949785506
3917820,0.30808448167987473
3917850,0.30783041547628043
3917880,0.30758435194030515
3917910,0.30734625418057115
3917940,0.30711609274622426
3917970,0.3068938457612236
3918000,0.3066794993314605
3918030,0.3064730482999694
3918060,0.30627449748059465
3918090,0.30608386359855416
3918120,0.3059011783629773
3918150,0.3057264935239086
3918180,0.30555988985749866
3918210,0.305401495454162
3918240,0.3052515348708756
3918270,0.30511051708959225
3918300,0.3049780845145951
3918330,0.3048536200804857
3918360,0.30473658191533765
3918390,0.30462652848598115
3918420,0.304523098751027
3918450,0.3044259922739712
3918480,0.3043349547921447
3918510,0.30424976819901384
3918540,0.3041702434476102
3918570,0.3040962153284864
3918600,0.3040275384793038
3918630,0.3039640842381359
3918660,0.3039057381007052
3918690,0.3038523976319217
3918720,0.3038039707177125
3918750,0.30376037408954587
3918780,0.3037215320812626
3918810,0.30368737556568776
3918840,0.3036578410429634
3918870,0.3036328698557728
3918900,0.3036124075137371
3918930,0.3035964031089891
3918960,0.3035848088113223
3918990,0.3035775794308177
3919020,0.30357467203898497
3919050,0.30357604564037627
3919080,0.3035816608880335
3919110,0.3035914798367892
3919140,0.30360546572957775
3919170,0.30362358281247814
3919200,0.3036457961747035
3919230,0.3036720716102847
3919260,0.30370237549903895
3919290,0.30373667470351434
3919320,0.3037749364811519
3919350,0.30381712840827274
3919380,0.30386321831566354
3919410,0.3039131742333097
3919440,0.3039669643438682
3919470,0.3040245569429644
3919500,0.3040859204061714
3919530,0.3041510231613614
3919560,0.3042198336659061
3919590,0.3042923203877174
3919620,0.3043684517903845
3919650,0.3044481963209168
3919680,0.3045315224005161
3919710,0.3046183984172591
3919740,0.3047087927211772
3919770,0.30480267362058205
3919800,0.3049000093802541
3919830,0.30500076822037514
3919860,0.3051049183168578
3919890,0.3052124278021864
3919920,0.30532326476742266
3919950,0.30543739726401314
3919980,0.3055547933071047
3920010,0.3056754208781211
3920040,0.30579924792850866
3920070,0.3059262423831544
3920100,0.306056372144259
3920130,0.3061896050950193
3920160,0.3063258285650951
3920190,0.3064649188793466
3920220,0.3066068095987462
3920250,0.30675145212751054
3920280,0.30689880236923156
3920310,0.3070488165663745
3920340,0.30720145017889927
3920370,0.3073566577114967
3920400,0.30751439279777776
3920430,0.3076750940630772
3920460,0.307837843875985
3920490,0.3080029144125684
3920520,0.308170301197372
3920550,0.30833996994537194
3920580,0.30851187730936963
3920610,0.30868597693748456
3920640,0.30886222149189213
3920670,0.3090405633261103
3920700,0.30922095471680927
3920730,0.3094033479447244
3920760,0.309587695325553
3920790,0.3097739492216501
3920820,0.30996206204783544
3920850,0.3101519862730673
3920880,0.31034367442106386
3920910,0.3105370790692647
3920940,0.3107321528477081
3920970,0.310928848436295
3921000,0.3111271185625392
3921030,0.3113269159979365
3921060,0.3115281935549303
3921090,0.3117309040825317
3921120,0.3119350004628762
3921150,0.312140435606604
3921180,0.31234716244880073
3921210,0.3125551339443408
3921240,0.3127643030635517
3921270,0.3129746227876218
3921300,0.3131860461041928
3921330,0.31339852600255885
3921360,0.3136120154693917
3921390,0.31382646748420906
3921420,0.3140418350149948
3921450,0.3142580710138359
3921480,0.3144751284127451
3921510,0.31469296011946757
3921540,0.31491151901337205
3921570,0.3151307579415988
3921600,0.31535062971515765
3921630,0.3155710871052146
3921660,0.31579208283946586
3921690,0.3160135695986346
3921720,0.31623550001319073
3921750,0.3164578266598886
3921780,0.316680502058904
3921810,0.3169034786705844
3921840,0.31712670889269795
3921870,0.31735014505763764
3921900,0.31757373942964817
3921930,0.3177974442024853
3921960,0.3180212114968609
3921990,0.31824499335818524
3922020,0.3184687417542318
3922050,0.3186924085732366
3922080,0.3189159456217845
3922110,0.3191393046229268
3922140,0.319362437214427
3922170,0.31958529494706883
3922200,0.31980782928299
3922230,0.3200300054829337
3922260,0.3202518067220468
3922290,0.32047322106681325
3922320,0.32069423737929764
3922350,0.32091484428048644
3922380,0.32113503000857596
3922410,0.32135478252827304
3922440,0.32157408967743156
3922470,0.3217929392919333
3922500,0.3220113193010769
3922530,0.322229217796552
3922560,0.3224466230811659
3922590,0.3226635237032655
3922620,0.3228799084797384
3922650,0.3230957665110368
3922680,0.323311087191096
3922710,0.3235258602120947
3922740,0.32374007556653045
3922770,0.3239537235472852
3922800,0.32416679474570426
3922830,0.3243792800488805
3922860,0.32459117063610327
3922890,0.32480245797512103
3922920,0.3250131338178392
3922950,0.32522319019627083
3922980,0.32543261941826507
3923010,0.32564141406342034
3923040,0.32584956697935447
3923070,0.3260570712777529
3923100,0.3262639203307746
3923130,0.3264701077679194
3923160,0.32667562747260664
3923190,0.3268804735792514
3923220,0.32708464047053076
3923250,0.3272881227746031
3923280,0.32749091536268954
3923310,0.3276930133467456
3923340,0.32789441207708814
3923370,0.32809510714045326
3923400,0.32829509435783993
3923430,0.32849436978265073
3923460,0.32869292969895814
3923490,0.32889077061962607
3923520,0.3290878892845579
3923550,0.32928428265931126
3923580,0.32947994793315855
3923610,0.3296748825179914
3923640,0.32986908404633
3923670,0.33006255037034826
3923700,0.330255279560072
3923730,0.33044726990218326
3923760,0.3306385198986471
3923790,0.3308290282651595
3923820,0.3310187939300655
3923850,0.3312078160329302
3923880,0.3313960939232374
3923910,0.331583627159116
3923940,0.33177041550612757
3923970,0.331956458935945
3924000,0.3321417576251256
3924030,0.33232616939071474
3924060,0.33250994030107855
3924090,0.3326929715109665
3924120,0.3328752339451571
3924150,0.33305671682172183
3924180,0.33323741034401866
3924210,0.3334173049853607
3924240,0.333596391264317
3924270,0.33377465968537207
3924300,0.33395210073587395
3924330,0.33412870490187396
3924360,0.33430446269022257
3924390,0.33447936465160316
3924420,0.33465340140410144
3924450,0.3348265636553706
3924480,0.3349988422235039
3924510,0.33517022805642077
